iter	Passed	Remaining
0	4	4011
1	6	3285
2	9	3001
3	15	3864
4	18	3652
5	20	3413
6	22	3218
7	24	3072
8	26	2962
9	34	3456
10	37	3328
11	39	3228
12	41	3132
13	46	3261
14	50	3345
15	54	3332
16	56	3261
17	60	3325
18	64	3348
19	67	3283
20	69	3223
21	71	3161
22	75	3227
23	80	3259
24	83	3237
25	85	3197
26	87	3157
27	92	3203
28	96	3215
29	98	3175
30	100	3152
31	103	3131
32	109	3203
33	113	3216
34	115	3185
35	117	3154
36	119	3122
37	127	3215
38	130	3203
39	132	3178
40	134	3149
41	140	3198
42	145	3244
43	148	3225
44	150	3202
45	154	3202
46	157	3200
47	160	3184
48	162	3158
49	164	3133
50	167	3117
51	171	3121
52	175	3131
53	178	3123
54	181	3113
55	183	3093
56	187	3095
57	190	3090
58	192	3075
59	195	3058
60	197	3039
61	201	3042
62	206	3075
63	209	3064
64	212	3052
65	214	3034
66	221	3085
67	224	3080
68	227	3065
69	229	3050
70	234	3064
71	239	3090
72	242	3074
73	244	3058
74	246	3042
75	253	3076
76	255	3064
77	257	3049
78	260	3032
79	262	3018
80	267	3038
81	272	3048
82	274	3036
83	277	3021
84	281	3027
85	286	3042
86	289	3034
87	291	3023
88	294	3009
89	299	3026
90	303	3029
91	305	3016
92	307	3003
93	310	2992
94	316	3019
95	319	3007
96	321	2995
97	324	2983
98	326	2975
99	331	2982
100	334	2980
101	337	2967
102	339	2955
103	341	2945
104	346	2956
105	349	2944
106	351	2933
107	353	2922
108	356	2913
109	361	2920
110	364	2922
111	367	2912
112	369	2902
113	372	2891
114	376	2898
115	379	2892
116	381	2882
117	384	2872
118	386	2861
119	388	2852
120	392	2853
121	397	2857
122	399	2851
123	402	2843
124	405	2836
125	423	2938
126	426	2931
127	428	2921
128	431	2912
129	434	2904
130	436	2897
131	439	2892
132	442	2882
133	444	2875
134	447	2866
135	449	2855
136	452	2849
137	456	2848
138	459	2844
139	461	2835
140	463	2826
141	466	2819
142	470	2817
143	474	2817
144	476	2810
145	479	2801
146	481	2794
147	484	2787
148	488	2788
149	491	2783
150	493	2776
151	496	2771
152	499	2763
153	503	2765
154	505	2757
155	508	2750
156	511	2744
157	513	2738
158	516	2733
159	519	2729
160	522	2725
161	525	2720
162	528	2713
163	530	2706
164	534	2703
165	537	2700
166	541	2699
167	543	2691
168	546	2686
169	549	2682
170	552	2679
171	556	2677
172	559	2672
173	561	2667
174	565	2664
175	568	2660
176	570	2653
177	573	2647
178	576	2642
179	578	2636
180	581	2631
181	584	2628
182	587	2622
183	589	2615
184	592	2609
185	595	2604
186	598	2600
187	600	2594
188	603	2587
189	605	2580
190	607	2574
191	610	2568
192	613	2565
193	615	2558
194	618	2552
195	620	2545
196	623	2539
197	625	2533
198	628	2529
199	631	2524
200	633	2518
201	636	2512
202	638	2506
203	640	2500
204	643	2495
205	646	2492
206	649	2487
207	651	2480
208	654	2475
209	656	2469
210	659	2467
211	663	2464
212	665	2459
213	667	2453
214	670	2447
215	672	2441
216	675	2436
217	678	2432
218	680	2427
219	683	2421
220	685	2415
221	687	2410
222	690	2406
223	693	2403
224	696	2398
225	698	2393
226	701	2388
227	703	2382
228	706	2378
229	709	2374
230	711	2369
231	714	2364
232	716	2358
233	718	2352
234	721	2347
235	724	2344
236	726	2339
237	729	2334
238	731	2329
239	733	2323
240	736	2318
241	739	2317
242	742	2312
243	744	2308
